,suburb,propert_desc,address,price,property_details,property_features,image
0,"Fourways, Sunninghill and Lonehill",2 Bed Townhouse in Witkoppen,"123 Ss Sibiti Private Estate, 121 Witkoppen Road",R 1 299 999,"['Listing number\nT4794099', 'Property type\nTownhouse', 'Erf size\n7 231 m²', 'Floor size\n120 m²', 'Rates and taxes\nR 749', 'Levies\nR 3 381']","['Bedrooms\n2', 'Bathrooms\n2.5', 'Lounges\n1', 'Dining Areas\n1', 'Open Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/677/33/10666677/images/property-10666677-31485010_dhd.jpg
1,"Fourways, Sunninghill and Lonehill",4 Bed House in Broadacres,"20 Sagewood, 17 Pine Road, Broadacres.",R 2 299 000,"['Listing number\nT4695320', 'Property type\nHouse', 'Floor size\n166 m²', 'Levies\nR 2 445']","['Bedrooms\n4', 'Bathrooms\n2.5', 'En-suite\n2', 'Lounges\n1', 'Dining Areas\n1', 'Garages\n2']",https://helium.privateproperty.co.za/live-za-images/property/1495/48/10497495/images/property-10497495-43124579_dhd.jpg
2,"Fourways, Sunninghill and Lonehill",4 Bed House in Broadacres,"30 Vachellia, 11 Broadacres Drive",R 2 320 000,"['Listing number\nT4252833', 'Property type\nHouse', 'Floor size\n168 m²', 'Levies\nR 2 654']","['Bedrooms\n4', 'Bathrooms\n2.5', 'En-suite\n1', 'Lounges\n1', 'Dining Areas\n1', 'Garages\n1']",https://helium.privateproperty.co.za/live-za-images/property/1994/18/9737994/images/property-9737994-38661078_dhd.jpg
3,"Fourways, Sunninghill and Lonehill",2 Bed Duplex in Maroeladal,,R 1 399 000,"['Listing number\nT4519502', 'Property type\nDuplex', 'Floor size\n100 m²', 'Rates and taxes\nR 850', 'Levies\nR 2 100']","['Bedrooms\n2', 'Bathrooms\n2', 'Lounges\n1', 'Dining Areas\n1', 'Covered Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/572/5/10210572/images/property-10210572-38168897_dhd.jpg
4,"Fourways, Sunninghill and Lonehill",3 Bed House in Craigavon,,R 1 580 000,"['Listing number\nT4775848', 'Property type\nHouse', 'Erf size\n489 m²', 'Floor size\n165 m²', 'Rates and taxes\nR 1 100', 'Levies\nR 1 405']","['Bedrooms\n3', 'Bathrooms\n2', 'En-suite\n1', 'Lounges\n1', 'Covered Parkings\n2', 'Storeys\n1']",https://helium.privateproperty.co.za/live-za-images/property/1932/17/10635932/images/property-10635932-24978815_dhd.jpg
5,"Fourways, Sunninghill and Lonehill",3 Bed Townhouse in Craigavon,,R 2 500 000,"['Listing number\nT4579343', 'Property type\nTownhouse', 'Erf size\n500 m²', 'Floor size\n260 m²', 'Rates and taxes\nR 1 460', 'Levies\nR 3 245']","['Bedrooms\n3', 'Bathrooms\n2', 'En-suite\n1', 'Lounges\n2', 'Dining Areas\n1', 'Garages\n2', 'Open Parkings\n2', 'Storeys\n2']",https://helium.privateproperty.co.za/live-za-images/property/545/2/10304545/images/property-10304545-55090271_dhd.jpg
6,"Fourways, Sunninghill and Lonehill",2 Bed House in Broadacres,,R 2 530 000,"['Listing number\nT4798019', 'Property type\nHouse', 'Floor size\n103 m²', 'Rates and taxes\nR 1 861', 'Levies\nR 3 767']","['Bedrooms\n2', 'Bathrooms\n1', 'Lounges\n1', 'Dining Areas\n1', 'Garages\n1', 'Open Parkings\n1']",https://helium.privateproperty.co.za/live-za-images/property/1321/36/10673321/images/property-10673321-84387031_dhd.jpg
7,"Fourways, Sunninghill and Lonehill",3 Bed House in Craigavon,,R 3 099 000,"['Listing number\nT4539743', 'Property type\nHouse', 'Erf size\n446 m²', 'Floor size\n214 m²', 'Rates and taxes\nR 980', 'Levies\nR 1 555']","['Bedrooms\n3', 'Bathrooms\n2', 'En-suite\n1', 'Lounges\n1', 'Dining Areas\n1', 'Garages\n2', 'Open Parkings\n2', 'Storeys\n1']",https://helium.privateproperty.co.za/live-za-images/property/1889/20/10241889/images/property-10241889-79744346_dhd.jpg
8,"Fourways, Sunninghill and Lonehill",4 Bed House in Paulshof,,R 3 500 000,"['Listing number\nT4766461', 'Property type\nHouse', 'Erf size\n1 582 m²']","['Bedrooms\n4', 'Bathrooms\n3.5', 'En-suite\n2', 'Lounges\n1', 'Dining Areas\n1', 'Garages\n2']",https://helium.privateproperty.co.za/live-za-images/property/1886/9/10619886/images/property-10619886-17462660_dhd.jpg
9,"Fourways, Sunninghill and Lonehill",2 Bed Apartment in Craigavon,147 Sausage Tree Street,R 779 000,"['Listing number\nT4676121', 'Property type\nApartment', 'Floor size\n71 m²', 'Rates and taxes\nR 630', 'Levies\nR 1 145']","['Bedrooms\n2', 'Bathrooms\n1', 'Lounges\n1', 'Dining Areas\n1', 'Covered Parkings\n1']",https://helium.privateproperty.co.za/live-za-images/property/1561/32/10465561/images/property-10465561-39260915_sd.jpg
