,suburb,propert_desc,address,price,property_details,property_features,image
0,Modderfontein,3 Bed Apartment in Modderfontein,"561 Westlake Eco Estate, 35 Westfield Road",R 1 590 000,"['Listing number\nT4751321', 'Property type\nApartment', 'Floor size\n104 m²', 'Rates and taxes\nR 1 500', 'Levies\nR 2 800']","['Bedrooms\n3', 'Bathrooms\n2', 'En-suite\n1', 'Lounges\n1', 'Covered Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/480/47/10594480/images/property-10594480-14842039_dhd.jpg
1,Modderfontein,3 Bed House in Modderfontein,19 Grasmere Avenue,R 2 690 000,"['Listing number\nT4655704', 'Property type\nHouse', 'Erf size\n763 m²', 'Floor size\n193 m²', 'Rates and taxes\nR 3 264', 'Levies\nR 1']","['Bedrooms\n3', 'Bathrooms\n1.5', 'Lounges\n1', 'Dining Areas\n1', 'Garages\n1', 'Covered Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/977/15/10430977/images/property-10430977-94965062_dhd.jpg
2,Modderfontein,2 Bed Apartment in Modderfontein,,R 1 100 000,"['Listing number\nT4705482', 'Property type\nApartment', 'Floor size\n76 m²', 'Rates and taxes\nR 960', 'Levies\nR 2 390']","['Bedrooms\n2', 'Bathrooms\n2', 'Lounges\n1', 'Dining Areas\n1']",https://helium.privateproperty.co.za/live-za-images/property/1182/7/10515182/images/property-10515182-86665831_dhd.jpg
3,Modderfontein,3 Bed Apartment in Modderfontein,,R 1 650 000,"['Listing number\nT4659232', 'Property type\nApartment', 'Floor size\n104 m²', 'Rates and taxes\nR 870', 'Levies\nR 2 051']","['Bedrooms\n3', 'Bathrooms\n2', 'Lounges\n1', 'Dining Areas\n1', 'Covered Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/837/18/10436837/images/property-10436837-98597230_dhd.jpg
4,Modderfontein,1 Bed Apartment in Modderfontein,,R 695 000,"['Listing number\nT4530190', 'Property type\nApartment', 'Floor size\n41 m²', 'Rates and taxes\nR 400', 'Levies\nR 1 280']","['Bedrooms\n1', 'Bathrooms\n1', 'Lounges\n1', 'Covered Parkings\n1']",https://helium.privateproperty.co.za/live-za-images/property/1172/13/10227172/images/property-10227172-72340166_dhd.jpg
5,Modderfontein,3 Bed Apartment in Modderfontein,,R 1 399 000,"['Listing number\nT4551248', 'Property type\nApartment', 'Erf size\n86 m²', 'Floor size\n86 m²', 'Rates and taxes\nR 1 065', 'Levies\nR 1 658']","['Bedrooms\n3', 'Bathrooms\n2', 'En-suite\n1', 'Lounges\n1', 'Dining Areas\n1', 'Covered Parkings\n2', 'Storeys\n1']",https://helium.privateproperty.co.za/live-za-images/property/492/30/10260492/images/property-10260492-99434838_dhd.jpg
6,Modderfontein,3 Bed Apartment in Modderfontein,,R 1 485 000,"['Listing number\nT4529509', 'Property type\nApartment', 'Erf size\n84 m²', 'Floor size\n84 m²', 'Rates and taxes\nR 1 044', 'Levies\nR 1 630']","['Bedrooms\n3', 'Bathrooms\n2', 'En-suite\n1', 'Lounges\n1', 'Covered Parkings\n2', 'Storeys\n1']",https://helium.privateproperty.co.za/live-za-images/property/166/13/10226166/images/property-10226166-92188330_dhd.jpg
7,Modderfontein,1 Bed Apartment in Modderfontein,"1012 Red Ivory Lane, 51 Avalon Road",R 600 000,"['Listing number\nT4700092', 'Property type\nApartment', 'Floor size\n45 m²', 'Rates and taxes\nR 525', 'Levies\nR 1 520']","['Bedrooms\n1', 'Bathrooms\n1', 'En-suite\n1', 'Lounges\n1', 'Covered Parkings\n1']",https://helium.privateproperty.co.za/live-za-images/property/1690/2/10505690/images/property-10505690-2239566_dhd.jpg
8,Modderfontein,1 Bed Apartment in Modderfontein,"140 Ss Westlake Eco-Estate, 43 Westfield Road",R 669 000,"['Listing number\nT4553441', 'Property type\nApartment', 'Floor size\n41 m²', 'Rates and taxes\nR 510', 'Levies\nR 1 434']","['Bedrooms\n1', 'Bathrooms\n1', 'Lounges\n1', 'Covered Parkings\n1']",https://helium.privateproperty.co.za/live-za-images/property/1874/31/10263874/images/property-10263874-88427605_sd.jpg
9,Modderfontein,1 Bed Apartment in Modderfontein,"805a Fisheagle View, 15 Benacre Lane",R 670 000,"['Listing number\nT4712724', 'Property type\nApartment', 'Floor size\n44 m²', 'Rates and taxes\nR 480', 'Levies\nR 1 100']","['Bedrooms\n1', 'Bathrooms\n1', 'Lounges\n1', 'Dining Areas\n1', 'Covered Parkings\n1']",https://helium.privateproperty.co.za/live-za-images/property/1943/13/10527943/images/property-10527943-59549545_dhd.jpg
