,suburb,propert_desc,address,price,property_details,property_features,image
0,Rosebank and Parktown,2 Bed Apartment in Craighall,"2 Ss Coconut Grove, 354 Jan Smuts Avenue",R 1 099 000,"['Listing number\nT4808440', 'Property type\nApartment', 'Erf size\n4 418 m²', 'Floor size\n74 m²', 'Rates and taxes\nR 761', 'Levies\nR 2 102']","['Bedrooms\n2', 'Bathrooms\n1', 'Lounges\n1', 'Open Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/870/45/10690870/images/property-10690870-32488585_dhd.jpg
1,Rosebank and Parktown,2 Bed Flat in Rosebank,"306 Roseways, 17 Tyrwhitt Avenue",R 2 175 000,"['Listing number\nT11656', 'Property type\nFlat', 'Floor size\n116 m²', 'Rates and taxes\nR 1 139', 'Levies\nR 2 220']","['Bedrooms\n2', 'Bathrooms\n1', 'Lounges\n1', 'Dining Areas\n1', 'Garages\n1', 'Storeys\n1']",https://helium.privateproperty.co.za/live-za-images/property/1783/40/10481783/images/property-10481783-97055558_dhd.jpg
2,Rosebank and Parktown,3 Bed House in Greenside East,58 Gleneagles Rd,R 2 950 000,"['Listing number\nT11616', 'Property type\nHouse', 'Erf size\n1 012 m²', 'Rates and taxes\nR 2 242']","['Bedrooms\n3', 'Bathrooms\n3', 'En-suite\n2', 'Lounges\n1', 'Dining Areas\n2', 'Garages\n2', 'Open Parkings\n3', 'Storeys\n1']",https://helium.privateproperty.co.za/live-za-images/property/1506/7/10415506/images/property-10415506-48135748_dhd.jpg
3,Rosebank and Parktown,2 Bed Apartment in Gresswold,"10 Manhattan Place, 17 St Benedict",R 699 000,"['Listing number\nT4481649', 'Property type\nApartment', 'Floor size\n72 m²', 'Rates and taxes\nR 386', 'Levies\nR 1 900']","['Bedrooms\n2', 'Bathrooms\n2', 'Covered Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/286/25/10150286/images/property-10150286-13744944_dhd.jpg
4,Rosebank and Parktown,1 Bed Apartment in Rosebank,"1. The Hive, 39 Ashford Road",R 1 511 000,"['Listing number\nT4470228', 'Property type\nApartment', 'Floor size\n36 m²', 'Levies\nR 993']","['Bedrooms\n1', 'Bathrooms\n1']",https://helium.privateproperty.co.za/live-za-images/property/1272/15/10131272/images/property-10131272-39575732_sd.jpg
5,Rosebank and Parktown,1 Bed Apartment in Houghton Estate,"206 The Paramount Houghton, 1 8th Street The Paramount Houghton",R 1 945 000,"['Listing number\nT4081184', 'Property type\nApartment', 'Floor size\n55 m²', 'Rates and taxes\nR 1 250', 'Levies\nR 1 780']","['Bedrooms\n1', 'Bathrooms\n1', 'En-suite\n1', 'Lounges\n1', 'Dining Areas\n1', 'Covered Parkings\n1']",https://helium.privateproperty.co.za/live-za-images/property/552/9/9418552/images/property-9418552-17344729_dhd.jpg
6,Rosebank and Parktown,1 Bed Apartment in Rosebank,"1106 The Median, 23 Cradock Avenue",R 2 000 000,"['Listing number\nT4212818', 'Property type\nApartment', 'Erf size\n47 m²', 'Floor size\n47 m²', 'Rates and taxes\nR 1 246', 'Levies\nR 2 262']","['Bedrooms\n1', 'Bathrooms\n1', 'Lounges\n1']",https://helium.privateproperty.co.za/live-za-images/property/1377/30/9661377/images/property-9661377-88735638_dhd.jpg
7,Rosebank and Parktown,2 Bed Apartment in Westcliff,"7 Westcliff View, 44 Jan Smuts Avenue",R 2 400 000,"['Listing number\nT3904724', 'Property type\nApartment', 'Floor size\n108 m²', 'Rates and taxes\nR 1 493', 'Levies\nR 4 565']","['Bedrooms\n2', 'Bathrooms\n2', 'En-suite\n1', 'Lounges\n1', 'Dining Areas\n1', 'Covered Parkings\n1']",https://helium.privateproperty.co.za/live-za-images/property/1024/42/9085024/images/property-9085024-70885412_sd.jpg
8,Rosebank and Parktown,1 Bed Apartment in Rosebank,"702 The Median, 23 Cradock Avenue",R 2 400 000,"['Listing number\nT4144845', 'Property type\nApartment', 'Erf size\n48 m²', 'Floor size\n48 m²', 'Rates and taxes\nR 1 597', 'Levies\nR 2 406']","['Bedrooms\n1', 'Bathrooms\n1', 'Lounges\n1']",https://helium.privateproperty.co.za/live-za-images/property/1754/16/9533754/images/property-9533754-85484634_dhd.jpg
9,Rosebank and Parktown,1 Bed Apartment in Rosebank,"602 The Median, 23 Cradock Avenue",R 2 400 000,"['Listing number\nT3766457', 'Property type\nApartment', 'Erf size\n44 m²', 'Floor size\n44 m²', 'Rates and taxes\nR 1 597', 'Levies\nR 2 406']","['Bedrooms\n1', 'Bathrooms\n1']",https://helium.privateproperty.co.za/live-za-images/property/673/0/8800673/images/property-8800673-51570980_dhd.jpg
10,Rosebank and Parktown,2 Bed Apartment in Houghton Estate,"409 The Paramount Houghton, 1 8th Street The Paramount Houghton",R 2 860 000,"['Listing number\nT3765531', 'Property type\nApartment', 'Erf size\n80 m²', 'Floor size\n75 m²', 'Rates and taxes\nR 2 000', 'Levies\nR 3 040']","['Bedrooms\n2', 'Bathrooms\n2', 'En-suite\n2', 'Lounges\n1', 'Dining Areas\n1', 'Garages\n2']",https://helium.privateproperty.co.za/live-za-images/property/601/49/8798601/images/property-8798601-67770505_dhd.jpg
11,Rosebank and Parktown,2 Bed House in Parkhurst,84 15th Street,R 3 399 000,"['Listing number\nT4797264', 'Property type\nHouse', 'Erf size\n496 m²', 'Floor size\n260 m²', 'Rates and taxes\nR 2 000']","['Bedrooms\n2', 'Bathrooms\n2', 'Lounges\n1', 'Dining Areas\n1', 'Garages\n2']",https://helium.privateproperty.co.za/live-za-images/property/133/36/10672133/images/property-10672133-95874916_dhd.jpg
12,Rosebank and Parktown,2 Bed Apartment in Rosebank,"802 The Tyrwhitt, 20 Tyrwhitt Avenue",R 3 518 900,"['Listing number\nT3549209', 'Property type\nApartment', 'Erf size\n74 m²', 'Floor size\n74 m²', 'Rates and taxes\nR 2 448', 'Levies\nR 2 679']","['Bedrooms\n2', 'Bathrooms\n2', 'Lounges\n1', 'Dining Areas\n1']",https://helium.privateproperty.co.za/live-za-images/property/701/34/8368701/images/property-8368701-18137411_dhd.jpg
13,Rosebank and Parktown,3 Bed Apartment in Rosebank,"815 The Tyrwhitt, 20 Tyrwhitt Avenue",R 4 794 900,"['Listing number\nT4499797', 'Property type\nApartment', 'Erf size\n135 m²', 'Floor size\n135 m²', 'Rates and taxes\nR 3 419', 'Levies\nR 3 516']","['Bedrooms\n3', 'Bathrooms\n2', 'Lounges\n1', 'Dining Areas\n1']",https://helium.privateproperty.co.za/live-za-images/property/1807/48/10097807/images/property-10097807-84051400_dhd.jpg
14,Rosebank and Parktown,4 Bed Penthouse in Houghton Estate,"518 The Paramount Houghton, 1 8th Street The Paramount Houghton",R 11 990 000,"['Listing number\nT3587150', 'Property type\nPenthouse', 'Erf size\n223 m²', 'Floor size\n223 m²', 'Rates and taxes\nR 8 840', 'Levies\nR 6 004']","['Bedrooms\n4', 'Bathrooms\n2.5', 'En-suite\n2', 'Lounges\n1', 'Dining Areas\n1', 'Covered Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/1917/20/8441917/images/property-8441917-37016283_dhd.jpg
15,Rosebank and Parktown,3 Bed Simplex in Dunkeld West,"2 Beau Vallon, 3 Pitts",R 3 799 999,"['Listing number\nT4773746', 'Property type\nSimplex', 'Erf size\n179 m²', 'Floor size\n179 m²']","['Bedrooms\n3', 'Bathrooms\n2.5', 'Lounges\n1', 'Dining Areas\n1', 'Garages\n1']",https://helium.privateproperty.co.za/live-za-images/property/204/16/10632204/images/property-10632204-67311796_dhd.jpg
16,Rosebank and Parktown,3 Bed Apartment in Riviera,,R 2 250 000,"['Listing number\nT4782543', 'Property type\nApartment']","['Bedrooms\n3', 'Bathrooms\n2', 'Lounges\n1', 'Dining Areas\n1']",https://helium.privateproperty.co.za/live-za-images/property/1161/23/10647161/images/property-10647161-31471296_dhd.jpg
